month,year,event,status
8,2020,Automated plotting options,planned
9,2020,More realistic sampling options,planned
10,2020,More flexible estimation methods/ management procedures,planned
11,2020,Improve sampling from OMs,planned
12,2020,Gather feedback from beta testers,planned
3,2021,Develop based on beta tester feedback,planned
7,2021,Submit package to CRAN,planned
